,customer_id,address,state,pcode_state,latitude,longitude
0,1,060 Morning Avenue,NSW,"2016,NSW",-33.893169481188124,151.20351477682553
1,1059,1149 Riverside Parkway,NSW,"2016,NSW",-33.893169481188124,151.20351477682553
2,2172,698 Lunder Point,NSW,"2016,NSW",-33.893169481188124,151.20351477682553
3,2380,4 Judy Park,NSW,"2016,NSW",-33.893169481188124,151.20351477682553
4,2768,9 Cascade Junction,NSW,"2016,NSW",-33.893169481188124,151.20351477682553
5,3735,79 Butterfield Street,NSW,"2016,NSW",-33.893169481188124,151.20351477682553
6,2,6 Meadow Vale Court,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
7,24,3 Cordelia Plaza,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
8,65,308 Jana Crossing,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
9,78,97455 Loeprich Lane,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
10,216,231 Havey Court,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
11,347,3 Moulton Lane,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
12,630,87 Linden Park,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
13,714,51 Londonderry Trail,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
14,897,6382 Bayside Street,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
15,1026,66 Hudson Crossing,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
16,1096,37 Division Way,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
17,1115,84 Porter Alley,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
18,1169,3 Atwood Lane,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
19,1230,4 Hoard Pass,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
20,1546,2 Eastwood Street,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
21,1548,08167 Buhler Avenue,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
22,1550,4 Sutteridge Trail,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
23,1575,7015 Hintze Parkway,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
24,1696,367 Algoma Lane,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
25,1729,25253 Straubel Trail,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
26,1862,0672 Lyons Pass,NSW,"2153,NSW",-33.753523825707575,150.99830076672535
